totalScore is -390.530396, lmScore is -12.631194, amScore is -377.899200, result is sil sp 是 ,num 3 
totalScore is -199.273987, lmScore is -13.087712, amScore is -186.186279, result is sil sp 布 ,num 3 
totalScore is -223.384293, lmScore is -9.654119, amScore is -213.730179, result is sp 布 ,num 2 
totalScore is -178.029129, lmScore is -15.625305, amScore is -162.403824, result is sp 平 ,num 2 
totalScore is -207.861679, lmScore is -9.254025, amScore is -198.607651, result is sp 的 ,num 2 
totalScore is -314.866272, lmScore is -9.247957, amScore is -305.618317, result is sp 了 ,num 2 
totalScore is -313.906677, lmScore is -14.599625, amScore is -299.307068, result is sp  ,num 2 
totalScore is -175.386139, lmScore is -8.529642, amScore is -166.856491, result is sp 你 ,num 2 
totalScore is -191.585419, lmScore is -14.430766, amScore is -177.154648, result is sp 剪刀 ,num 2 
totalScore is -207.578934, lmScore is -8.515886, amScore is -199.063049, result is sp 出 ,num 2 
totalScore is -214.664536, lmScore is -9.653141, amScore is -205.011398, result is sp 锤子 ,num 2 
totalScore is -222.087189, lmScore is -14.204058, amScore is -207.883133, result is sp ,num 1 
totalScore is -255.591904, lmScore is -8.430766, amScore is -247.161133, result is sp 石头 ,num 2 
totalScore is -259.869263, lmScore is -9.197600, amScore is -250.671677, result is sp 是 ,num 2 
totalScore is -235.075546, lmScore is -7.476335, amScore is -227.599213, result is sp sil ,num 2 
totalScore is -178.866165, lmScore is -7.476335, amScore is -171.389832, result is sp sil ,num 2 
totalScore is -191.756363, lmScore is -9.197600, amScore is -182.558762, result is sp 是 ,num 2 
totalScore is -193.679428, lmScore is -8.430766, amScore is -185.248657, result is sp 石头 ,num 2 
totalScore is -227.565781, lmScore is -14.204058, amScore is -213.361725, result is sp ,num 1 
totalScore is -158.091232, lmScore is -9.653141, amScore is -148.438095, result is sp 锤子 ,num 2 
totalScore is -158.535568, lmScore is -8.515886, amScore is -150.019684, result is sp 出 ,num 2 
totalScore is -169.397232, lmScore is -14.430766, amScore is -154.966461, result is sp 剪刀 ,num 2 
totalScore is -206.690552, lmScore is -8.529642, amScore is -198.160904, result is sp 你 ,num 2 
totalScore is -230.225388, lmScore is -14.599625, amScore is -215.625763, result is sp  ,num 2 
totalScore is -249.254990, lmScore is -9.247957, amScore is -240.007034, result is sp 了 ,num 2 
totalScore is -179.172195, lmScore is -9.254025, amScore is -169.918167, result is sp 的 ,num 2 
totalScore is -160.936478, lmScore is -15.625305, amScore is -145.311172, result is sp 平 ,num 2 
totalScore is -191.157959, lmScore is -9.654119, amScore is -181.503845, result is sp 布 ,num 2 
totalScore is -331.949615, lmScore is -13.087711, amScore is -318.861908, result is sil sp 布 ,num 3 
totalScore is -331.920807, lmScore is -13.058899, amScore is -318.861908, result is sil sp 平 ,num 3 
totalScore is -331.549530, lmScore is -12.687618, amScore is -318.861908, result is sil sp 的 ,num 3 
totalScore is -331.543457, lmScore is -12.681554, amScore is -318.861908, result is sil sp 了 ,num 3 
totalScore is -330.895142, lmScore is -12.033218, amScore is -318.861908, result is sil sp  ,num 3 
totalScore is -330.825134, lmScore is -11.963236, amScore is -318.861908, result is sil sp 你 ,num 3 
totalScore is -330.726257, lmScore is -11.864360, amScore is -318.861908, result is sil sp 剪刀 ,num 3 
totalScore is -330.533783, lmScore is -11.671862, amScore is -318.861908, result is sil sp ,num 2 
totalScore is -330.499573, lmScore is -11.637651, amScore is -318.861908, result is sil sp ,num 2 
totalScore is -330.346100, lmScore is -11.484183, amScore is -318.861908, result is sil sp ,num 2 
totalScore is -178.636261, lmScore is -10.909929, amScore is -167.726334, result is sil sp sil ,num 3 
totalScore is -187.064865, lmScore is -10.909929, amScore is -176.154938, result is sil sp sil ,num 3 
totalScore is -199.270096, lmScore is -12.631194, amScore is -186.638901, result is sil sp 是 ,num 3 
totalScore is -201.193161, lmScore is -11.864360, amScore is -189.328796, result is sil sp 石头 ,num 3 
totalScore is -235.079514, lmScore is -17.637651, amScore is -217.441864, result is sil sp ,num 2 
totalScore is -165.604965, lmScore is -13.086735, amScore is -152.518234, result is sil sp 锤子 ,num 3 
totalScore is -166.049301, lmScore is -11.949480, amScore is -154.099823, result is sil sp 出 ,num 3 
totalScore is -176.910934, lmScore is -17.864361, amScore is -159.046570, result is sil sp 剪刀 ,num 3 
totalScore is -214.204285, lmScore is -11.963236, amScore is -202.241043, result is sil sp 你 ,num 3 
totalScore is -237.739105, lmScore is -18.033218, amScore is -219.705887, result is sil sp  ,num 3 
totalScore is -256.768738, lmScore is -12.681551, amScore is -244.087173, result is sil sp 了 ,num 3 
totalScore is -186.685883, lmScore is -12.687618, amScore is -173.998260, result is sil sp 的 ,num 3 
totalScore is -168.450180, lmScore is -19.058899, amScore is -149.391281, result is sil sp 平 ,num 3 
totalScore is -198.671661, lmScore is -13.087712, amScore is -185.583954, result is sil sp 布 ,num 3 
totalScore is -222.446014, lmScore is -9.654119, amScore is -212.791901, result is sp 布 ,num 2 
totalScore is -176.570740, lmScore is -15.625305, amScore is -160.945435, result is sp 平 ,num 2 
totalScore is -206.824493, lmScore is -9.254025, amScore is -197.570465, result is sp 的 ,num 2 
totalScore is -314.694733, lmScore is -9.247957, amScore is -305.446777, result is sp 了 ,num 2 
totalScore is -313.680298, lmScore is -14.599625, amScore is -299.080688, result is sp  ,num 2 
totalScore is -174.245209, lmScore is -8.529642, amScore is -165.715561, result is sp 你 ,num 2 
totalScore is -190.251083, lmScore is -14.430766, amScore is -175.820312, result is sp 剪刀 ,num 2 
totalScore is -206.330551, lmScore is -8.515886, amScore is -197.814667, result is sp 出 ,num 2 
totalScore is -213.439102, lmScore is -9.653141, amScore is -203.785965, result is sp 锤子 ,num 2 
totalScore is -221.299042, lmScore is -14.204058, amScore is -207.094986, result is sp ,num 1 
totalScore is -254.849319, lmScore is -8.430766, amScore is -246.418549, result is sp 石头 ,num 2 
totalScore is -259.130310, lmScore is -9.197600, amScore is -249.932724, result is sp 是 ,num 2 
totalScore is -235.443436, lmScore is -7.476335, amScore is -227.967102, result is sp sil ,num 2 
totalScore is -385.145996, lmScore is -9.197600, amScore is -375.948395, result is sp 是 ,num 2 
totalScore is -403.874542, lmScore is -8.430766, amScore is -395.443787, result is sp 石头 ,num 2 
totalScore is -312.458221, lmScore is -14.204058, amScore is -298.254150, result is sp ,num 1 
totalScore is -219.481079, lmScore is -9.653141, amScore is -209.827942, result is sp 锤子 ,num 2 
totalScore is -228.277069, lmScore is -8.515886, amScore is -219.761185, result is sp 出 ,num 2 
totalScore is -267.090668, lmScore is -14.430766, amScore is -252.659912, result is sp 剪刀 ,num 2 
totalScore is -295.913300, lmScore is -8.529642, amScore is -287.383667, result is sp 你 ,num 2 
totalScore is -376.611267, lmScore is -14.599625, amScore is -362.011658, result is sp  ,num 2 
totalScore is -487.957092, lmScore is -9.247957, amScore is -478.709137, result is sp 了 ,num 2 
totalScore is -284.123352, lmScore is -9.254025, amScore is -274.869324, result is sp 的 ,num 2 
totalScore is -189.076370, lmScore is -15.625305, amScore is -173.451065, result is sp 平 ,num 2 
totalScore is -265.332886, lmScore is -9.654119, amScore is -255.678757, result is sp 布 ,num 2 
totalScore is -230.559601, lmScore is -13.087712, amScore is -217.471893, result is sil sp 布 ,num 3 
totalScore is -184.874908, lmScore is -19.058899, amScore is -165.816010, result is sil sp 平 ,num 3 
totalScore is -214.969894, lmScore is -12.687618, amScore is -202.282272, result is sil sp 的 ,num 3 
totalScore is -322.486572, lmScore is -12.681551, amScore is -309.805023, result is sil sp 了 ,num 3 
totalScore is -321.518372, lmScore is -18.033218, amScore is -303.485168, result is sil sp  ,num 3 
totalScore is -182.241119, lmScore is -11.963236, amScore is -170.277878, result is sil sp 你 ,num 3 
totalScore is -198.503860, lmScore is -17.864361, amScore is -180.639496, result is sil sp 剪刀 ,num 3 
totalScore is -214.603409, lmScore is -11.949480, amScore is -202.653931, result is sil sp 出 ,num 3 
totalScore is -221.720078, lmScore is -13.086735, amScore is -208.633347, result is sil sp 锤子 ,num 3 
totalScore is -229.195023, lmScore is -17.637651, amScore is -211.557373, result is sil sp ,num 2 
totalScore is -262.905243, lmScore is -11.864360, amScore is -251.040894, result is sil sp 石头 ,num 3 
totalScore is -267.200409, lmScore is -12.631194, amScore is -254.569229, result is sil sp 是 ,num 3 
totalScore is -243.582153, lmScore is -10.909929, amScore is -232.672226, result is sil sp sil ,num 3 
totalScore is -187.739548, lmScore is -10.909929, amScore is -176.829620, result is sil sp sil ,num 3 
totalScore is -199.265915, lmScore is -12.631194, amScore is -186.634720, result is sil sp 是 ,num 3 
totalScore is -201.188965, lmScore is -11.864360, amScore is -189.324600, result is sil sp 石头 ,num 3 
totalScore is -235.075302, lmScore is -17.637651, amScore is -217.437653, result is sil sp ,num 2 
totalScore is -165.600769, lmScore is -13.086735, amScore is -152.514038, result is sil sp 锤子 ,num 3 
totalScore is -166.045120, lmScore is -11.949480, amScore is -154.095642, result is sil sp 出 ,num 3 
totalScore is -176.906738, lmScore is -17.864361, amScore is -159.042374, result is sil sp 剪刀 ,num 3 
totalScore is -214.200089, lmScore is -11.963236, amScore is -202.236847, result is sil sp 你 ,num 3 
totalScore is -237.734924, lmScore is -18.033218, amScore is -219.701706, result is sil sp  ,num 3 
totalScore is -256.764557, lmScore is -12.681551, amScore is -244.082993, result is sil sp 了 ,num 3 
totalScore is -186.681702, lmScore is -12.687618, amScore is -173.994080, result is sil sp 的 ,num 3 
totalScore is -168.445984, lmScore is -19.058899, amScore is -149.387085, result is sil sp 平 ,num 3 
totalScore is -198.667480, lmScore is -13.087712, amScore is -185.579773, result is sil sp 布 ,num 3 
totalScore is -223.045898, lmScore is -9.654119, amScore is -213.391785, result is sp 布 ,num 2 
totalScore is -177.361191, lmScore is -15.625305, amScore is -161.735886, result is sp 平 ,num 2 
totalScore is -207.456207, lmScore is -9.254025, amScore is -198.202179, result is sp 的 ,num 2 
totalScore is -314.972839, lmScore is -9.247957, amScore is -305.724884, result is sp 了 ,num 2 
totalScore is -314.004639, lmScore is -14.599625, amScore is -299.405029, result is sp  ,num 2 
totalScore is -229.910400, lmScore is -14.599625, amScore is -215.310776, result is sp  ,num 2 
totalScore is -248.984177, lmScore is -9.247957, amScore is -239.736221, result is sp 了 ,num 2 
totalScore is -178.551788, lmScore is -9.254025, amScore is -169.297760, result is sp 的 ,num 2 
totalScore is -160.157959, lmScore is -15.625305, amScore is -144.532654, result is sp 平 ,num 2 
totalScore is -190.568542, lmScore is -9.654119, amScore is -180.914429, result is sp 布 ,num 2 
totalScore is -331.962646, lmScore is -13.087711, amScore is -318.874939, result is sil sp 布 ,num 3 
totalScore is -331.933838, lmScore is -13.058899, amScore is -318.874939, result is sil sp 平 ,num 3 
totalScore is -331.562561, lmScore is -12.687618, amScore is -318.874939, result is sil sp 的 ,num 3 
totalScore is -331.556488, lmScore is -12.681554, amScore is -318.874939, result is sil sp 了 ,num 3 
totalScore is -330.908142, lmScore is -12.033218, amScore is -318.874939, result is sil sp  ,num 3 
totalScore is -330.838165, lmScore is -11.963236, amScore is -318.874939, result is sil sp 你 ,num 3 
totalScore is -330.739288, lmScore is -11.864360, amScore is -318.874939, result is sil sp 剪刀 ,num 3 
totalScore is -330.546814, lmScore is -11.671862, amScore is -318.874939, result is sil sp ,num 2 
totalScore is -330.512604, lmScore is -11.637651, amScore is -318.874939, result is sil sp ,num 2 
totalScore is -330.359131, lmScore is -11.484183, amScore is -318.874939, result is sil sp ,num 2 
totalScore is -177.975983, lmScore is -10.909929, amScore is -167.066055, result is sil sp sil ,num 3 
totalScore is -187.121872, lmScore is -10.909929, amScore is -176.211945, result is sil sp sil ,num 3 
totalScore is -198.723587, lmScore is -12.631194, amScore is -186.092392, result is sil sp 是 ,num 3 
totalScore is -200.660507, lmScore is -11.864360, amScore is -188.796143, result is sil sp 石头 ,num 3 
totalScore is -234.703476, lmScore is -17.637651, amScore is -217.065826, result is sil sp ,num 2 
totalScore is -164.848724, lmScore is -13.086735, amScore is -151.761993, result is sil sp 锤子 ,num 3 
totalScore is -165.300919, lmScore is -11.949480, amScore is -153.351440, result is sil sp 出 ,num 3 
totalScore is -176.182388, lmScore is -17.864361, amScore is -158.318024, result is sil sp 剪刀 ,num 3 
totalScore is -213.727097, lmScore is -11.963236, amScore is -201.763855, result is sil sp 你 ,num 3 
totalScore is -237.424103, lmScore is -18.033218, amScore is -219.390884, result is sil sp  ,num 3 
totalScore is -256.497894, lmScore is -12.681551, amScore is -243.816330, result is sil sp 了 ,num 3 
totalScore is -186.065491, lmScore is -12.687618, amScore is -173.377869, result is sil sp 的 ,num 3 
totalScore is -167.671631, lmScore is -19.058899, amScore is -148.612732, result is sil sp 平 ,num 3 
totalScore is -198.082245, lmScore is -13.087712, amScore is -184.994537, result is sil sp 布 ,num 3 
totalScore is -222.692017, lmScore is -9.654119, amScore is -213.037903, result is sp 布 ,num 2 
totalScore is -176.676529, lmScore is -15.625305, amScore is -161.051224, result is sp 平 ,num 2 
totalScore is -207.035309, lmScore is -9.254025, amScore is -197.781281, result is sp 的 ,num 2 
totalScore is -315.072021, lmScore is -9.247957, amScore is -305.824066, result is sp 了 ,num 2 
totalScore is -314.103333, lmScore is -14.599625, amScore is -299.503723, result is sp  ,num 2 
totalScore is -174.064453, lmScore is -8.529642, amScore is -165.534805, result is sp 你 ,num 2 
totalScore is -190.380020, lmScore is -14.430766, amScore is -175.949249, result is sp 剪刀 ,num 2 
totalScore is -206.585281, lmScore is -8.515886, amScore is -198.069397, result is sp 出 ,num 2 
totalScore is -213.732620, lmScore is -9.653141, amScore is -204.079483, result is sp 锤子 ,num 2 
totalScore is -221.269348, lmScore is -14.204058, amScore is -207.065292, result is sp ,num 1 
totalScore is -255.180557, lmScore is -8.430766, amScore is -246.749786, result is sp 石头 ,num 2 
totalScore is -259.493317, lmScore is -9.197600, amScore is -250.295731, result is sp 是 ,num 2 
totalScore is -235.692291, lmScore is -7.476335, amScore is -228.215958, result is sp sil ,num 2 
totalScore is -178.983200, lmScore is -7.476335, amScore is -171.506866, result is sp sil ,num 2 
totalScore is -190.653488, lmScore is -9.197600, amScore is -181.455887, result is sp 是 ,num 2 
totalScore is -192.604614, lmScore is -8.430766, amScore is -184.173843, result is sp 石头 ,num 2 
totalScore is -226.807510, lmScore is -14.204058, amScore is -212.603455, result is sp ,num 1 
totalScore is -156.567764, lmScore is -9.653141, amScore is -146.914627, result is sp 锤子 ,num 2 
totalScore is -157.028030, lmScore is -8.515886, amScore is -148.512146, result is sp 出 ,num 2 
totalScore is -167.929642, lmScore is -14.430766, amScore is -153.498871, result is sp 剪刀 ,num 2 
totalScore is -205.731171, lmScore is -8.529642, amScore is -197.201523, result is sp 你 ,num 2 
totalScore is -229.586029, lmScore is -14.599625, amScore is -214.986404, result is sp  ,num 2 
totalScore is -248.706070, lmScore is -9.247957, amScore is -239.458115, result is sp 了 ,num 2 
totalScore is -177.920074, lmScore is -9.254025, amScore is -168.666046, result is sp 的 ,num 2 
totalScore is -159.367508, lmScore is -15.625305, amScore is -143.742203, result is sp 平 ,num 2 
totalScore is -189.968658, lmScore is -9.654119, amScore is -180.314545, result is sp 布 ,num 2 
totalScore is -331.966827, lmScore is -13.087711, amScore is -318.879120, result is sil sp 布 ,num 3 
totalScore is -331.938019, lmScore is -13.058899, amScore is -318.879120, result is sil sp 平 ,num 3 
totalScore is -331.566742, lmScore is -12.687618, amScore is -318.879120, result is sil sp 的 ,num 3 
totalScore is -331.560669, lmScore is -12.681554, amScore is -318.879120, result is sil sp 了 ,num 3 
totalScore is -330.912354, lmScore is -12.033218, amScore is -318.879120, result is sil sp  ,num 3 
totalScore is -330.842346, lmScore is -11.963236, amScore is -318.879120, result is sil sp 你 ,num 3 
totalScore is -330.743469, lmScore is -11.864360, amScore is -318.879120, result is sil sp 剪刀 ,num 3 
totalScore is -330.550995, lmScore is -11.671862, amScore is -318.879120, result is sil sp ,num 2 
totalScore is -330.516785, lmScore is -11.637651, amScore is -318.879120, result is sil sp ,num 2 
totalScore is -330.363312, lmScore is -11.484183, amScore is -318.879120, result is sil sp ,num 2 
totalScore is -177.301300, lmScore is -10.909929, amScore is -166.391373, result is sil sp sil ,num 3 
totalScore is -322.275299, lmScore is -7.476304, amScore is -314.798981, result is sil sp ,num 2 
totalScore is -324.453094, lmScore is -9.654118, amScore is -314.798981, result is sp 布 ,num 2 
totalScore is -324.424286, lmScore is -9.625305, amScore is -314.798981, result is sp 平 ,num 2 
totalScore is -5000.000000, lmScore is -5000.000000, amScore is -5000.000000, result is sp 平 ,num 2 
totalScore is -5173.200684, lmScore is -9.254025, amScore is -5163.946777, result is sp 的 ,num 2 
totalScore is -324.053009, lmScore is -9.254025, amScore is -314.798981, result is sp 的 ,num 2 
totalScore is -5000.000000, lmScore is -5000.000000, amScore is -5000.000000, result is sp 的 ,num 2 
totalScore is -5244.336426, lmScore is -9.247957, amScore is -5235.088379, result is sp 了 ,num 2 
totalScore is -324.046936, lmScore is -9.247960, amScore is -314.798981, result is sp 了 ,num 2 
totalScore is -5000.000000, lmScore is -5000.000000, amScore is -5000.000000, result is sp 了 ,num 2 
totalScore is -5225.175293, lmScore is -14.599625, amScore is -5210.575684, result is sp  ,num 2 
totalScore is -323.398621, lmScore is -8.599625, amScore is -314.798981, result is sp  ,num 2 
totalScore is -5000.000000, lmScore is -5000.000000, amScore is -5000.000000, result is sp  ,num 2 
totalScore is -5201.162109, lmScore is -8.529642, amScore is -5192.632324, result is sp 你 ,num 2 
totalScore is -323.328613, lmScore is -8.529642, amScore is -314.798981, result is sp 你 ,num 2 
totalScore is -5000.000000, lmScore is -5000.000000, amScore is -5000.000000, result is sp 你 ,num 2 
totalScore is -5163.106934, lmScore is -14.430766, amScore is -5148.676270, result is sp 剪刀 ,num 2 
totalScore is -323.229736, lmScore is -8.430766, amScore is -314.798981, result is sp 剪刀 ,num 2 
totalScore is -5000.000000, lmScore is -5000.000000, amScore is -5000.000000, result is sp 剪刀 ,num 2 
totalScore is -5151.717285, lmScore is -9.653141, amScore is -5142.063965, result is sp 锤子 ,num 2 
totalScore is -5152.184570, lmScore is -8.515886, amScore is -5143.668457, result is sp 出 ,num 2 
totalScore is -323.037262, lmScore is -8.238268, amScore is -314.798981, result is sp ,num 1 
totalScore is -5000.000000, lmScore is -5000.000000, amScore is -5000.000000, result is sp ,num 1 
totalScore is -5222.338867, lmScore is -14.204058, amScore is -5208.134766, result is sp ,num 1 
totalScore is -323.003052, lmScore is -8.204058, amScore is -314.798981, result is sp ,num 1 
totalScore is -5000.000000, lmScore is -5000.000000, amScore is -5000.000000, result is sp ,num 1 
totalScore is -5186.011719, lmScore is -9.197600, amScore is -5176.813965, result is sp 是 ,num 2 
totalScore is -5187.976562, lmScore is -8.430766, amScore is -5179.545898, result is sp 石头 ,num 2 
totalScore is -322.849579, lmScore is -8.050590, amScore is -314.798981, result is sp ,num 1 
totalScore is -5000.000000, lmScore is -5000.000000, amScore is -5000.000000, result is sp ,num 1 
totalScore is -169.102615, lmScore is -7.476335, amScore is -161.626282, result is sp sil ,num 2 
totalScore is -785000.000000, lmScore is -5000.000000, amScore is -780000.000000, result is sp ,num 1 
best totalScore is -156.567764, lmScore is -9.653141, amScore is -146.914627, result is sp 锤子 ,num 2 
